,find_number,Name,type_find,lat,long,num_coins,year_found,year_found_end,comments,imported,references,owner,created,hoard?,single?,excavation?,cf_custom_region_vague
65,3169,Weimar (Grabfunde),Hoard Find,50.98,11.329,4,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3169 || http://afe.dainst.org/detailedresult?l=en&link=12004 || http://afe.dainst.org/detailedresult?l=en&link=12005 || http://afe.dainst.org/detailedresult?l=en&link=12006 || http://afe.dainst.org/detailedresult?l=en&link=12007,DAI,06-12-2023,False,False,True,2
66,3170,Meuselwitz,Single Find,51.043,12.299,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3170 || http://afe.dainst.org/detailedresult?l=en&link=12008,DAI,06-12-2023,False,False,True,2
67,3176,Lützeroda,Single Find,50.96,11.553,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3176 || http://afe.dainst.org/detailedresult?l=en&link=12016,DAI,06-12-2023,False,True,False,2
68,3177,Maua,Single Find,50.869,11.6,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3177 || http://afe.dainst.org/detailedresult?l=en&link=12017,DAI,06-12-2023,False,False,False,2
69,3180,Köstitz,Single Find,50.7,11.283,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3180 || http://afe.dainst.org/detailedresult?l=en&link=12020,DAI,06-12-2023,False,False,True,2
70,3190,Jena,Single Find,50.929,11.59,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3190 || http://afe.dainst.org/detailedresult?l=en&link=12038,DAI,06-12-2023,False,False,False,2
71,3211,Milz,Single Find,50.378,10.538,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3211 || http://afe.dainst.org/detailedresult?l=en&link=12076,DAI,06-12-2023,False,True,False,2
72,3219,Kühndorf,Single Find,50.617,10.483,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3219 || http://afe.dainst.org/detailedresult?l=en&link=12087,DAI,06-12-2023,False,False,False,2
73,3291,Raguth Fpl. 5 (Hortfund),Single Find,53.56866,11.05225,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3291 || http://afe.dainst.org/detailedresult?l=en&link=6587,DAI,06-12-2023,True,False,False,2
74,3301,Babke 3,Single Find,53.3611,12.88868,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3301 || http://afe.dainst.org/detailedresult?l=en&link=12351 || http://afe.dainst.org/detailedresult?l=en&link=12352 || http://afe.dainst.org/detailedresult?l=en&link=12353 || http://afe.dainst.org/detailedresult?l=en&link=12354,DAI,06-12-2023,False,True,False,2
75,3301,Babke 3,Hoard Find,53.3611,12.88868,2,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3301 || http://afe.dainst.org/detailedresult?l=en&link=12351 || http://afe.dainst.org/detailedresult?l=en&link=12352 || http://afe.dainst.org/detailedresult?l=en&link=12353 || http://afe.dainst.org/detailedresult?l=en&link=12354,DAI,06-12-2023,False,True,False,2
76,3301,Babke 3,Single Find,53.3611,12.88868,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3301 || http://afe.dainst.org/detailedresult?l=en&link=12351 || http://afe.dainst.org/detailedresult?l=en&link=12352 || http://afe.dainst.org/detailedresult?l=en&link=12353 || http://afe.dainst.org/detailedresult?l=en&link=12354,DAI,06-12-2023,False,True,False,2
77,3376,Wendisch-Paulsdorf,Single Find,51.0832,14.659,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3376 || http://afe.dainst.org/detailedresult?l=en&link=12912,DAI,06-12-2023,False,False,False,2
78,3380,Lercha,Hoard Find,51.1649,13.4859,2,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3380 || http://afe.dainst.org/detailedresult?l=en&link=12917 || http://afe.dainst.org/detailedresult?l=en&link=12918,DAI,06-12-2023,False,False,False,2
79,3381,Lercha (Siedlung),Single Find,51.1649,13.4859,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3381 || http://afe.dainst.org/detailedresult?l=en&link=12920,DAI,06-12-2023,False,False,False,2
80,3390,Kitzen,Single Find,51.22172,12.22349,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3390 || http://afe.dainst.org/detailedresult?l=en&link=12991,DAI,06-12-2023,False,True,False,2
81,3690,Toitin Fpl. 28,Single Find,53.9167,13.35,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3690 || http://afe.dainst.org/detailedresult?l=en&link=14301,DAI,06-12-2023,False,True,False,2
82,3720,Schmalstede I (Brandgrab 134),Single Find,54.2,10.033,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3720 || http://afe.dainst.org/detailedresult?l=en&link=12795,DAI,06-12-2023,False,False,True,2
83,3725,"Gützkow, Fpl. 76 (Hortfund)",Hoard Find,53.95,13.4167,5,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3725 || http://afe.dainst.org/detailedresult?l=en&link=14956 || http://afe.dainst.org/detailedresult?l=en&link=15804 || http://afe.dainst.org/detailedresult?l=en&link=15805 || http://afe.dainst.org/detailedresult?l=en&link=15806 || http://afe.dainst.org/detailedresult?l=en&link=15807,DAI,06-12-2023,True,False,False,2
84,3778,Quedlinburg IV,Single Find,51.788,11.15,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3778 || http://afe.dainst.org/detailedresult?l=en&link=9474,DAI,06-12-2023,False,True,False,2
85,3807,Gädebehn Fpl. 10,Single Find,53.6333,13.0667,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3807 || http://afe.dainst.org/detailedresult?l=en&link=15675 || http://afe.dainst.org/detailedresult?l=en&link=15676,DAI,06-12-2023,False,True,False,2
86,3807,Gädebehn Fpl. 10,Single Find,53.6333,13.0667,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3807 || http://afe.dainst.org/detailedresult?l=en&link=15675 || http://afe.dainst.org/detailedresult?l=en&link=15676,DAI,06-12-2023,False,True,False,2
87,3833,bei Wachtendonk,Single Find,51.3974,6.2919,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3833 || http://afe.dainst.org/detailedresult?l=en&link=15889,DAI,06-12-2023,False,True,False,2
88,3878,Plau Fpl. 125,Single Find,53.45,12.2667,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3878 || http://afe.dainst.org/detailedresult?l=en&link=16203,DAI,06-12-2023,False,True,False,2
89,3996,Fredenbeck,Single Find,53.5236,9.4035,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3996 || http://afe.dainst.org/detailedresult?l=en&link=16959,DAI,06-12-2023,False,True,False,2
90,4004,Fehmarn III (Schatzfund?),Hoard Find,54.433,11.2,4,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=4004 || http://afe.dainst.org/detailedresult?l=en&link=16983 || http://afe.dainst.org/detailedresult?l=en&link=16984 || http://afe.dainst.org/detailedresult?l=en&link=16985 || http://afe.dainst.org/detailedresult?l=en&link=16986,DAI,06-12-2023,True,False,False,2
